Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Label,
TIME,CH1
-2.1568e-02,0.000156231
-2.1565e-02,0.000312481
-2.1562e-02,0.000312481
-2.1558e-02,0.000249981
-2.1555e-02,0.000593731
-2.1552e-02,0.000656231
-2.1549e-02,0.000249981
-2.1546e-02,-0.000187519
-2.1542e-02,0.000187481
-2.1539e-02,0.000281231
-2.1536e-02,3.12309e-05
-2.1533e-02,0.000624981
-2.1530e-02,0.000843731
-2.1526e-02,0.000124981
-2.1523e-02,0.000156231
-2.1520e-02,0.000312481
-2.1517e-02,0.000437481
-2.1514e-02,0.000374981
-2.1510e-02,0.00174998
-2.1507e-02,0.000937481
-2.1504e-02,0.000718731
-2.1501e-02,0.00109373
-2.1498e-02,0.000874981
-2.1494e-02,0.00134373
-2.1491e-02,0.00109373
-2.1488e-02,0.000781231
-2.1485e-02,0.000499981
-2.1482e-02,0.00159373
-2.1478e-02,0.000624981
-2.1475e-02,0.00131248
-2.1472e-02,0.00137498
-2.1469e-02,0.000312481
-2.1466e-02,0.000499981
-2.1462e-02,0.00131248
-2.1459e-02,0.00124998
-2.1456e-02,0.000187481
-2.1453e-02,0.00190623
-2.1450e-02,0.00159373
-2.1446e-02,0.000999981
-2.1443e-02,0.000812481
-2.1440e-02,0.000624981
-2.1437e-02,0.000531231
-2.1434e-02,0.000312481
-2.1430e-02,0.000531231
-2.1427e-02,0.000812481
-2.1424e-02,-3.12691e-05
-2.1421e-02,0.000531231
-2.1418e-02,0.000218731
-2.1414e-02,0.000156231
-2.1411e-02,-0.000125019
-2.1408e-02,9.37309e-05
-2.1405e-02,0.000187481
-2.1402e-02,0.000218731
-2.1398e-02,0.000312481
-2.1395e-02,0.000156231
-2.1392e-02,9.37309e-05
-2.1389e-02,-3.12691e-05
-2.1386e-02,-3.12691e-05
-2.1382e-02,0.000281231
-2.1379e-02,3.12309e-05
-2.1376e-02,0.000249981
-2.1373e-02,0.000718731
-2.1370e-02,3.12309e-05
-2.1366e-02,3.12309e-05
-2.1363e-02,-3.12691e-05
-2.1360e-02,3.12309e-05
-2.1357e-02,0.000406231
-2.1354e-02,0.000312481
-2.1350e-02,0.000187481
-2.1347e-02,3.12309e-05
-2.1344e-02,0.000562481
-2.1341e-02,0.000249981
-2.1338e-02,0.000249981
-2.1334e-02,-3.12691e-05
-2.1331e-02,0.000281231
-2.1328e-02,0.000406231
-2.1325e-02,-0.000125019
-2.1322e-02,6.24809e-05
-2.1318e-02,0.000156231
-2.1315e-02,-0.000187519
-2.1312e-02,6.24809e-05
-2.1309e-02,-3.12691e-05
-2.1306e-02,3.12309e-05
-2.1302e-02,3.12309e-05
-2.1299e-02,-3.12691e-05
-2.1296e-02,0.000249981
-2.1293e-02,-1.90735e-08
-2.1290e-02,-0.000375019
-2.1286e-02,-9.37691e-05
-2.1283e-02,0.000249981
-2.1280e-02,-0.000125019
-2.1277e-02,-0.000187519
-2.1274e-02,3.12309e-05
-2.1270e-02,0.000249981
-2.1267e-02,-1.90735e-08
-2.1264e-02,3.12309e-05
-2.1261e-02,0.000374981
-2.1258e-02,0.000124981
-2.1254e-02,0.000343731
-2.1251e-02,0.000249981
-2.1248e-02,-3.12691e-05
-2.1245e-02,0.000468731
-2.1242e-02,0.000343731
-2.1238e-02,0.000124981
-2.1235e-02,0.000374981
-2.1232e-02,0.000531231
-2.1229e-02,0.000312481
-2.1226e-02,0.000499981
-2.1222e-02,0.000687481
-2.1219e-02,0.00128123
-2.1216e-02,0.000687481
-2.1213e-02,0.000906231
-2.1210e-02,0.000624981
-2.1206e-02,0.000406231
-2.1203e-02,0.000187481
-2.1200e-02,0.000249981
-2.1197e-02,0.000406231
-2.1194e-02,3.12309e-05
-2.1190e-02,0.000406231
-2.1187e-02,-0.000218769
-2.1184e-02,3.12309e-05
-2.1181e-02,0.000656231
-2.1178e-02,0.000468731
-2.1174e-02,0.000749981
-2.1171e-02,0.000999981
-2.1168e-02,0.000437481
-2.1165e-02,-3.12691e-05
-2.1162e-02,0.000874981
-2.1158e-02,0.000249981
-2.1155e-02,0.000906231
-2.1152e-02,0.000812481
-2.1149e-02,0.000812481
-2.1146e-02,0.000718731
-2.1142e-02,0.00124998
-2.1139e-02,0.00224998
-2.1136e-02,0.000999981
-2.1133e-02,0.00184373
-2.1130e-02,0.00199998
-2.1126e-02,0.000843731
-2.1123e-02,0.00159373
-2.1120e-02,0.000249981
-2.1117e-02,0.000124981
-2.1114e-02,3.12309e-05
-2.1110e-02,0.000593731
-2.1107e-02,0.000312481
-2.1104e-02,0.000718731
-2.1101e-02,0.000124981
-2.1098e-02,0.000624981
-2.1094e-02,0.000624981
-2.1091e-02,0.000531231
-2.1088e-02,9.37309e-05
-2.1085e-02,0.000187481
-2.1082e-02,0.000656231
-2.1078e-02,0.000468731
-2.1075e-02,0.000406231
-2.1072e-02,-3.12691e-05
-2.1069e-02,0.000468731
-2.1066e-02,9.37309e-05
-2.1062e-02,-0.000250019
-2.1059e-02,-0.000406269
-2.1056e-02,-0.000187519
-2.1053e-02,-1.90735e-08
-2.1050e-02,0.000218731
-2.1046e-02,0.000499981
-2.1043e-02,3.12309e-05
-2.1040e-02,0.000187481
-2.1037e-02,-0.000125019
-2.1034e-02,6.24809e-05
-2.1030e-02,-3.12691e-05
-2.1027e-02,3.12309e-05
-2.1024e-02,9.37309e-05
-2.1021e-02,-1.90735e-08
-2.1018e-02,-9.37691e-05
-2.1014e-02,0.000187481
-2.1011e-02,3.12309e-05
-2.1008e-02,-1.90735e-08
-2.1005e-02,6.24809e-05
-2.1002e-02,6.24809e-05
-2.0998e-02,0.000624981
-2.0995e-02,9.37309e-05
-2.0992e-02,0.000187481
-2.0989e-02,-9.37691e-05
-2.0986e-02,0.000281231
-2.0982e-02,0.000218731
-2.0979e-02,0.000124981
-2.0976e-02,0.000374981
-2.0973e-02,0.000218731
-2.0970e-02,0.000499981
-2.0966e-02,6.24809e-05
-2.0963e-02,0.000406231
-2.0960e-02,0.000187481
-2.0957e-02,0.000218731
-2.0954e-02,0.000124981
-2.0950e-02,0.000124981
-2.0947e-02,3.12309e-05
-2.0944e-02,0.000562481
-2.0941e-02,0.000593731
-2.0938e-02,0.000531231
-2.0934e-02,0.000374981
-2.0931e-02,3.12309e-05
-2.0928e-02,-1.90735e-08
-2.0925e-02,9.37309e-05
-2.0922e-02,0.000218731
-2.0918e-02,9.37309e-05
-2.0915e-02,0.000249981
-2.0912e-02,0.000812481
-2.0909e-02,0.000187481
-2.0906e-02,0.000218731
-2.0902e-02,0.000124981
-2.0899e-02,-9.37691e-05
-2.0896e-02,9.37309e-05
-2.0893e-02,-0.000312519
-2.0890e-02,0.000343731
-2.0886e-02,9.37309e-05
-2.0883e-02,-6.25191e-05
-2.0880e-02,0.000249981
-2.0877e-02,0.000281231
-2.0874e-02,9.37309e-05
-2.0870e-02,6.24809e-05
-2.0867e-02,3.12309e-05
-2.0864e-02,0.000281231
-2.0861e-02,0.000656231
-2.0858e-02,-3.12691e-05
-2.0854e-02,-9.37691e-05
-2.0851e-02,6.24809e-05
-2.0848e-02,0.000374981
-2.0845e-02,0.000343731
-2.0842e-02,6.24809e-05
-2.0838e-02,0.000468731
-2.0835e-02,0.000281231
-2.0832e-02,-0.000125019
-2.0829e-02,0.000374981
-2.0826e-02,0.000218731
-2.0822e-02,9.37309e-05
-2.0819e-02,-3.12691e-05
-2.0816e-02,6.24809e-05
-2.0813e-02,0.000249981
-2.0810e-02,0.000312481
-2.0806e-02,0.000124981
-2.0803e-02,0.000281231
-2.0800e-02,9.37309e-05
-2.0797e-02,9.37309e-05
-2.0794e-02,0.000593731
-2.0790e-02,0.00118748
-2.0787e-02,0.000812481
-2.0784e-02,0.000593731
-2.0781e-02,0.000374981
-2.0778e-02,9.37309e-05
-2.0774e-02,0.000124981
-2.0771e-02,9.37309e-05
-2.0768e-02,9.37309e-05
-2.0765e-02,3.12309e-05
-2.0762e-02,6.24809e-05
-2.0758e-02,0.000343731
-2.0755e-02,0.000218731
-2.0752e-02,0.000218731
-2.0749e-02,9.37309e-05
-2.0746e-02,-3.12691e-05
-2.0742e-02,-3.12691e-05
-2.0739e-02,-3.12691e-05
-2.0736e-02,9.37309e-05
-2.0733e-02,0.000124981
-2.0730e-02,-3.12691e-05
-2.0726e-02,3.12309e-05
-2.0723e-02,-3.12691e-05
-2.0720e-02,9.37309e-05
-2.0717e-02,-0.000125019
-2.0714e-02,-0.000250019
-2.0710e-02,-0.000125019
-2.0707e-02,9.37309e-05
-2.0704e-02,0.000124981
-2.0701e-02,0.000312481
-2.0698e-02,0.000406231
-2.0694e-02,0.000312481
-2.0691e-02,3.12309e-05
-2.0688e-02,0.000281231
-2.0685e-02,9.37309e-05
-2.0682e-02,-0.000125019
-2.0678e-02,-3.12691e-05
-2.0675e-02,-0.000250019
-2.0672e-02,9.37309e-05
-2.0669e-02,0.000156231
-2.0666e-02,-3.12691e-05
-2.0662e-02,3.12309e-05
-2.0659e-02,3.12309e-05
-2.0656e-02,-0.000281269
-2.0653e-02,-3.12691e-05
-2.0650e-02,0.000124981
-2.0646e-02,6.24809e-05
-2.0643e-02,0.000187481
-2.0640e-02,-6.25191e-05
-2.0637e-02,0.000406231
-2.0634e-02,9.37309e-05
-2.0630e-02,0.000781231
-2.0627e-02,0.000874981
-2.0624e-02,0.000906231
-2.0621e-02,0.00174998
-2.0618e-02,0.00103123
-2.0614e-02,0.000624981
-2.0611e-02,0.00209373
-2.0608e-02,0.00159373
-2.0605e-02,0.00171873
-2.0602e-02,0.00153123
-2.0598e-02,0.000843731
-2.0595e-02,0.000406231
-2.0592e-02,0.000312481
-2.0589e-02,0.000437481
